id,source,authorId,authorName,timestamp,content,likeCount,shareCount,commentCount,language
"Twitter_1778644539624_1","Twitter","user_917","User 362","2024-09-27 06:50:00","tinh thần đoàn kết của người việt thật đáng khâm phục  mọi người cùng giúp đỡ nhau",15,66,16,"vi"
"Twitter_1778644539624_8","Twitter","user_912","User 292","2024-09-22 11:40:00","cơ sở hạ tầng bị phá hủy nghiêm trọng  cầu đường sạt lở nặng",47,8,45,"vi"
"Twitter_1778644539624_6","Twitter","user_481","User 491","2024-09-08 05:39:00","cảm ơn các nhà hảo tâm đã gửi thực phẩm và nước uống đến vùng lũ",120,26,11,"vi"
"Twitter_1778644539624_0","Twitter","user_997","User 541","2024-09-10 20:07:00","đội ngũ y tế đang làm việc không mệt mỏi để cứu chữa người bị thương",82,36,41,"vi"
"Twitter_1778644539624_15","Twitter","user_923","User 712","2024-09-09 10:06:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",472,32,41,"vi"
"Twitter_1778644539624_10","Twitter","user_124","User 23","2024-09-30 17:43:00","nhà cửa bị sập hoàn toàn sau bão  không biết bao giờ mới xây lại được",45,60,13,"vi"
"Twitter_1778644539624_14","Twitter","user_656","User 760","2024-09-13 19:54:00","mất điện  mất nước đã 3 ngày  cuộc sống vô cùng khó khăn",405,25,43,"vi"
"Twitter_1778644539624_2","Twitter","user_217","User 529","2024-09-07 12:14:00","cơ sở hạ tầng bị phá hủy nghiêm trọng  cầu đường sạt lở nặng",231,90,45,"vi"
"Twitter_1778644539624_13","Twitter","user_74","User 322","2024-09-11 09:57:00","chính quyền đã hỗ trợ tiền mặt kịp thời cho các hộ dân bị thiệt hại",160,4,12,"vi"
"Twitter_1778644539624_19","Twitter","user_225","User 279","2024-09-21 14:00:00","cảm ơn đội cứu hộ đã giúp đỡ người dân vùng lũ  thật tuyệt vời",410,44,18,"vi"
"Twitter_1778644539624_4","Twitter","user_648","User 442","2024-09-12 04:02:00","hàng cứu trợ đến chậm  phân phối không công bằng",278,71,42,"vi"
"Twitter_1778644539624_7","Twitter","user_796","User 579","2024-09-15 10:38:00","cơ sở hạ tầng bị phá hủy nghiêm trọng  cầu đường sạt lở nặng",473,53,41,"vi"
"Twitter_1778644539624_18","Twitter","user_553","User 730","2024-09-24 11:30:00","bão yagi đã đổ bộ vào các tỉnh miền bắc với sức gió mạnh nhất",357,70,24,"vi"
"Twitter_1778644539624_3","Twitter","user_827","User 335","2024-09-20 21:51:00","bão quá mạnh  thiệt hại quá lớn  nhiều người mất nhà cửa",451,35,11,"vi"
"Twitter_1778644539624_17","Twitter","user_32","User 936","2024-09-30 17:18:00","bão yagi đã đổ bộ vào các tỉnh miền bắc với sức gió mạnh nhất",111,12,43,"vi"
"Twitter_1778644539624_9","Twitter","user_643","User 116","2024-09-29 12:31:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",361,22,2,"vi"
"Twitter_1778644539624_11","Twitter","user_515","User 622","2024-09-21 17:14:00","hàng cứu trợ đã đến kịp thời  cảm ơn tấm lòng hảo tâm của mọi người",116,32,16,"vi"
"Twitter_1778644539624_16","Twitter","user_325","User 64","2024-09-12 15:01:00","người dân vùng lũ đang rất cần được cứu trợ khẩn cấp  chưa thấy ai đến",331,13,8,"vi"
"Twitter_1778644539624_5","Twitter","user_162","User 938","2024-09-25 05:30:00","theo dự báo  bão sẽ suy yếu dần trong 24 giờ tới",441,3,31,"vi"
"Twitter_1778644539624_12","Twitter","user_873","User 962","2024-09-12 20:40:00","đội ngũ y tế đang làm việc không mệt mỏi để cứu chữa người bị thương",116,79,4,"vi"
"Twitter_1778644539625_18","Twitter","user_467","User 36","2024-09-08 17:48:00","mất điện  mất nước đã 3 ngày  cuộc sống vô cùng khó khăn",451,19,19,"vi"
"Twitter_1778644539625_0","Twitter","user_319","User 297","2024-09-29 15:24:00","hàng cứu trợ đến chậm  phân phối không công bằng",32,45,0,"vi"
"Twitter_1778644539625_3","Twitter","user_817","User 329","2024-09-27 12:07:00","các đơn vị đang khẩn trương khắc phục hậu quả bão  rất đáng khen ngợi",484,86,45,"vi"
"Twitter_1778644539625_6","Twitter","user_77","User 297","2024-09-29 02:04:00","đội ngũ y tế đang làm việc không mệt mỏi để cứu chữa người bị thương",357,70,32,"vi"
"Twitter_1778644539625_7","Twitter","user_382","User 46","2024-09-21 14:56:00","bão quá mạnh  thiệt hại quá lớn  nhiều người mất nhà cửa",139,96,3,"vi"
"Twitter_1778644539625_5","Twitter","user_589","User 881","2024-09-23 23:42:00","nhà cửa bị sập hoàn toàn sau bão  không biết bao giờ mới xây lại được",65,41,49,"vi"
"Twitter_1778644539625_9","Twitter","user_750","User 768","2024-09-19 16:05:00","theo dự báo  bão sẽ suy yếu dần trong 24 giờ tới",175,95,3,"vi"
"Twitter_1778644539625_16","Twitter","user_175","User 875","2024-09-17 06:19:00","bão yagi đã đổ bộ vào các tỉnh miền bắc với sức gió mạnh nhất",411,60,44,"vi"
"Twitter_1778644539625_17","Twitter","user_365","User 934","2024-09-11 08:38:00","cảm ơn các nhà hảo tâm đã gửi thực phẩm và nước uống đến vùng lũ",142,23,3,"vi"
"Twitter_1778644539625_1","Twitter","user_989","User 270","2024-09-11 09:19:00","đường sá bị ngập nặng  giao thông tê liệt hoàn toàn  không thể di chuyển",83,47,30,"vi"
"Twitter_1778644539625_13","Twitter","user_706","User 697","2024-09-30 16:07:00","cơ sở hạ tầng bị phá hủy nghiêm trọng  cầu đường sạt lở nặng",74,13,49,"vi"
"Twitter_1778644539625_14","Twitter","user_818","User 873","2024-09-24 17:21:00","các đơn vị đang khẩn trương khắc phục hậu quả bão  rất đáng khen ngợi",126,74,12,"vi"
"Twitter_1778644539625_10","Twitter","user_32","User 700","2024-09-11 02:28:00","người dân vùng lũ đang rất cần được cứu trợ khẩn cấp  chưa thấy ai đến",132,91,41,"vi"
"Twitter_1778644539625_8","Twitter","user_853","User 333","2024-09-24 03:22:00","các đơn vị đang khẩn trương khắc phục hậu quả bão  rất đáng khen ngợi",52,9,4,"vi"
"Twitter_1778644539625_12","Twitter","user_914","User 700","2024-09-17 23:59:00","tinh thần đoàn kết của người việt thật đáng khâm phục  mọi người cùng giúp đỡ nhau",97,79,18,"vi"
"Twitter_1778644539625_11","Twitter","user_409","User 335","2024-09-24 22:03:00","đội ngũ y tế đang làm việc không mệt mỏi để cứu chữa người bị thương",339,39,44,"vi"
"Twitter_1778644539625_19","Twitter","user_965","User 636","2024-09-10 02:51:00","mất điện  mất nước đã 3 ngày  cuộc sống vô cùng khó khăn",243,54,31,"vi"
"Twitter_1778644539625_4","Twitter","user_385","User 711","2024-09-22 13:54:00","typhoon yagi là chủ đề đang được quan tâm",371,18,33,"vi"
"Twitter_1778644539625_15","Twitter","user_279","User 825","2024-09-20 16:02:00","đội ngũ y tế đang làm việc không mệt mỏi để cứu chữa người bị thương",459,85,33,"vi"
"Twitter_1778644539625_2","Twitter","user_475","User 741","2024-09-20 02:47:00","cảm ơn đội cứu hộ đã giúp đỡ người dân vùng lũ  thật tuyệt vời",163,19,1,"vi"
