label,value,category,series
"2024-09-06",8.000000,"POSITIVE","Tích cực"
"2024-09-06",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-06",6.000000,"NEUTRAL","Trung tính"
"2024-09-07",8.000000,"POSITIVE","Tích cực"
"2024-09-07",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-07",9.000000,"NEUTRAL","Trung tính"
"2024-09-08",6.000000,"POSITIVE","Tích cực"
"2024-09-08",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-08",4.000000,"NEUTRAL","Trung tính"
"2024-09-09",5.000000,"POSITIVE","Tích cực"
"2024-09-09",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-09",2.000000,"NEUTRAL","Trung tính"
"2024-09-10",5.000000,"POSITIVE","Tích cực"
"2024-09-10",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-10",4.000000,"NEUTRAL","Trung tính"
"2024-09-11",7.000000,"POSITIVE","Tích cực"
"2024-09-11",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-11",5.000000,"NEUTRAL","Trung tính"
"2024-09-12",6.000000,"POSITIVE","Tích cực"
"2024-09-12",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-12",7.000000,"NEUTRAL","Trung tính"
"2024-09-13",10.000000,"POSITIVE","Tích cực"
"2024-09-13",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-13",5.000000,"NEUTRAL","Trung tính"
"2024-09-14",9.000000,"POSITIVE","Tích cực"
"2024-09-14",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-14",8.000000,"NEUTRAL","Trung tính"
"2024-09-15",5.000000,"POSITIVE","Tích cực"
"2024-09-15",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-15",8.000000,"NEUTRAL","Trung tính"
"2024-09-16",8.000000,"POSITIVE","Tích cực"
"2024-09-16",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-16",4.000000,"NEUTRAL","Trung tính"
"2024-09-17",8.000000,"POSITIVE","Tích cực"
"2024-09-17",9.000000,"NEGATIVE","Tiêu cực"
"2024-09-17",3.000000,"NEUTRAL","Trung tính"
"2024-09-18",11.000000,"POSITIVE","Tích cực"
"2024-09-18",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-18",4.000000,"NEUTRAL","Trung tính"
"2024-09-19",11.000000,"POSITIVE","Tích cực"
"2024-09-19",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-19",5.000000,"NEUTRAL","Trung tính"
"2024-09-20",8.000000,"POSITIVE","Tích cực"
"2024-09-20",12.000000,"NEGATIVE","Tiêu cực"
"2024-09-20",4.000000,"NEUTRAL","Trung tính"
"2024-09-21",5.000000,"POSITIVE","Tích cực"
"2024-09-21",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-21",3.000000,"NEUTRAL","Trung tính"
"2024-09-22",13.000000,"POSITIVE","Tích cực"
"2024-09-22",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-22",6.000000,"NEUTRAL","Trung tính"
"2024-09-23",5.000000,"POSITIVE","Tích cực"
"2024-09-23",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-23",5.000000,"NEUTRAL","Trung tính"
"2024-09-24",16.000000,"POSITIVE","Tích cực"
"2024-09-24",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-24",5.000000,"NEUTRAL","Trung tính"
"2024-09-25",9.000000,"POSITIVE","Tích cực"
"2024-09-25",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-25",2.000000,"NEUTRAL","Trung tính"
"2024-09-26",6.000000,"POSITIVE","Tích cực"
"2024-09-26",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-26",2.000000,"NEUTRAL","Trung tính"
"2024-09-27",9.000000,"POSITIVE","Tích cực"
"2024-09-27",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-27",5.000000,"NEUTRAL","Trung tính"
"2024-09-28",8.000000,"POSITIVE","Tích cực"
"2024-09-28",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-28",7.000000,"NEUTRAL","Trung tính"
"2024-09-29",10.000000,"POSITIVE","Tích cực"
"2024-09-29",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-29",4.000000,"NEUTRAL","Trung tính"
"2024-09-30",6.000000,"POSITIVE","Tích cực"
"2024-09-30",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-30",4.000000,"NEUTRAL","Trung tính"
