label,value,category,series
"2024-09-06",6.000000,"POSITIVE","Tích cực"
"2024-09-06",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-06",4.000000,"NEUTRAL","Trung tính"
"2024-09-07",7.000000,"POSITIVE","Tích cực"
"2024-09-07",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-07",4.000000,"NEUTRAL","Trung tính"
"2024-09-08",11.000000,"POSITIVE","Tích cực"
"2024-09-08",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-08",5.000000,"NEUTRAL","Trung tính"
"2024-09-09",4.000000,"POSITIVE","Tích cực"
"2024-09-09",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-09",1.000000,"NEUTRAL","Trung tính"
"2024-09-10",6.000000,"POSITIVE","Tích cực"
"2024-09-10",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-10",4.000000,"NEUTRAL","Trung tính"
"2024-09-11",6.000000,"POSITIVE","Tích cực"
"2024-09-11",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-11",4.000000,"NEUTRAL","Trung tính"
"2024-09-12",6.000000,"POSITIVE","Tích cực"
"2024-09-12",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-12",5.000000,"NEUTRAL","Trung tính"
"2024-09-13",11.000000,"POSITIVE","Tích cực"
"2024-09-13",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-13",6.000000,"NEUTRAL","Trung tính"
"2024-09-14",9.000000,"POSITIVE","Tích cực"
"2024-09-14",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-14",7.000000,"NEUTRAL","Trung tính"
"2024-09-15",7.000000,"POSITIVE","Tích cực"
"2024-09-15",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-15",4.000000,"NEUTRAL","Trung tính"
"2024-09-16",3.000000,"POSITIVE","Tích cực"
"2024-09-16",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-16",3.000000,"NEUTRAL","Trung tính"
"2024-09-17",5.000000,"POSITIVE","Tích cực"
"2024-09-17",9.000000,"NEGATIVE","Tiêu cực"
"2024-09-17",3.000000,"NEUTRAL","Trung tính"
"2024-09-18",12.000000,"POSITIVE","Tích cực"
"2024-09-18",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-18",7.000000,"NEUTRAL","Trung tính"
"2024-09-19",7.000000,"POSITIVE","Tích cực"
"2024-09-19",1.000000,"NEGATIVE","Tiêu cực"
"2024-09-19",5.000000,"NEUTRAL","Trung tính"
"2024-09-20",13.000000,"POSITIVE","Tích cực"
"2024-09-20",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-20",5.000000,"NEUTRAL","Trung tính"
"2024-09-21",5.000000,"POSITIVE","Tích cực"
"2024-09-21",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-21",4.000000,"NEUTRAL","Trung tính"
"2024-09-22",6.000000,"POSITIVE","Tích cực"
"2024-09-22",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-22",0.000000,"NEUTRAL","Trung tính"
"2024-09-23",7.000000,"POSITIVE","Tích cực"
"2024-09-23",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-23",4.000000,"NEUTRAL","Trung tính"
"2024-09-24",8.000000,"POSITIVE","Tích cực"
"2024-09-24",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-24",5.000000,"NEUTRAL","Trung tính"
"2024-09-25",7.000000,"POSITIVE","Tích cực"
"2024-09-25",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-25",3.000000,"NEUTRAL","Trung tính"
"2024-09-26",4.000000,"POSITIVE","Tích cực"
"2024-09-26",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-26",1.000000,"NEUTRAL","Trung tính"
"2024-09-27",7.000000,"POSITIVE","Tích cực"
"2024-09-27",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-27",3.000000,"NEUTRAL","Trung tính"
"2024-09-28",6.000000,"POSITIVE","Tích cực"
"2024-09-28",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-28",5.000000,"NEUTRAL","Trung tính"
"2024-09-29",8.000000,"POSITIVE","Tích cực"
"2024-09-29",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-29",5.000000,"NEUTRAL","Trung tính"
"2024-09-30",8.000000,"POSITIVE","Tích cực"
"2024-09-30",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-30",1.000000,"NEUTRAL","Trung tính"
