label,value,category,series
"Tiền mặt",0.000000,"Hài lòng","Tích cực"
"Tiền mặt",0.000000,"Không hài lòng","Tiêu cực"
"Tiền mặt",36.000000,"Trung tính","Trung tính"
"Nhà ở",0.000000,"Hài lòng","Tích cực"
"Nhà ở",0.000000,"Không hài lòng","Tiêu cực"
"Nhà ở",0.000000,"Trung tính","Trung tính"
"Hỗ trợ y tế",0.000000,"Hài lòng","Tích cực"
"Hỗ trợ y tế",31.000000,"Không hài lòng","Tiêu cực"
"Hỗ trợ y tế",0.000000,"Trung tính","Trung tính"
"Thực phẩm",26.000000,"Hài lòng","Tích cực"
"Thực phẩm",0.000000,"Không hài lòng","Tiêu cực"
"Thực phẩm",0.000000,"Trung tính","Trung tính"
"Giao thông",0.000000,"Hài lòng","Tích cực"
"Giao thông",26.000000,"Không hài lòng","Tiêu cực"
"Giao thông",31.000000,"Trung tính","Trung tính"
