label,value,category,series
"2024-09-06",9.000000,"POSITIVE","Tích cực"
"2024-09-06",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-06",5.000000,"NEUTRAL","Trung tính"
"2024-09-07",10.000000,"POSITIVE","Tích cực"
"2024-09-07",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-07",3.000000,"NEUTRAL","Trung tính"
"2024-09-08",6.000000,"POSITIVE","Tích cực"
"2024-09-08",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-08",2.000000,"NEUTRAL","Trung tính"
"2024-09-09",2.000000,"POSITIVE","Tích cực"
"2024-09-09",1.000000,"NEGATIVE","Tiêu cực"
"2024-09-09",2.000000,"NEUTRAL","Trung tính"
"2024-09-10",5.000000,"POSITIVE","Tích cực"
"2024-09-10",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-10",4.000000,"NEUTRAL","Trung tính"
"2024-09-11",3.000000,"POSITIVE","Tích cực"
"2024-09-11",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-11",5.000000,"NEUTRAL","Trung tính"
"2024-09-12",6.000000,"POSITIVE","Tích cực"
"2024-09-12",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-12",6.000000,"NEUTRAL","Trung tính"
"2024-09-13",10.000000,"POSITIVE","Tích cực"
"2024-09-13",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-13",6.000000,"NEUTRAL","Trung tính"
"2024-09-14",3.000000,"POSITIVE","Tích cực"
"2024-09-14",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-14",6.000000,"NEUTRAL","Trung tính"
"2024-09-15",5.000000,"POSITIVE","Tích cực"
"2024-09-15",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-15",2.000000,"NEUTRAL","Trung tính"
"2024-09-16",5.000000,"POSITIVE","Tích cực"
"2024-09-16",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-16",4.000000,"NEUTRAL","Trung tính"
"2024-09-17",6.000000,"POSITIVE","Tích cực"
"2024-09-17",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-17",3.000000,"NEUTRAL","Trung tính"
"2024-09-18",4.000000,"POSITIVE","Tích cực"
"2024-09-18",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-18",4.000000,"NEUTRAL","Trung tính"
"2024-09-19",11.000000,"POSITIVE","Tích cực"
"2024-09-19",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-19",2.000000,"NEUTRAL","Trung tính"
"2024-09-20",11.000000,"POSITIVE","Tích cực"
"2024-09-20",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-20",3.000000,"NEUTRAL","Trung tính"
"2024-09-21",7.000000,"POSITIVE","Tích cực"
"2024-09-21",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-21",6.000000,"NEUTRAL","Trung tính"
"2024-09-22",8.000000,"POSITIVE","Tích cực"
"2024-09-22",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-22",1.000000,"NEUTRAL","Trung tính"
"2024-09-23",2.000000,"POSITIVE","Tích cực"
"2024-09-23",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-23",2.000000,"NEUTRAL","Trung tính"
"2024-09-24",5.000000,"POSITIVE","Tích cực"
"2024-09-24",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-24",5.000000,"NEUTRAL","Trung tính"
"2024-09-25",8.000000,"POSITIVE","Tích cực"
"2024-09-25",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-25",2.000000,"NEUTRAL","Trung tính"
"2024-09-26",4.000000,"POSITIVE","Tích cực"
"2024-09-26",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-26",2.000000,"NEUTRAL","Trung tính"
"2024-09-27",11.000000,"POSITIVE","Tích cực"
"2024-09-27",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-27",2.000000,"NEUTRAL","Trung tính"
"2024-09-28",4.000000,"POSITIVE","Tích cực"
"2024-09-28",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-28",6.000000,"NEUTRAL","Trung tính"
"2024-09-29",4.000000,"POSITIVE","Tích cực"
"2024-09-29",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-29",2.000000,"NEUTRAL","Trung tính"
"2024-09-30",7.000000,"POSITIVE","Tích cực"
"2024-09-30",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-30",3.000000,"NEUTRAL","Trung tính"
