label,value,category,series
"2024-09-06",10.000000,"POSITIVE","Tích cực"
"2024-09-06",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-06",4.000000,"NEUTRAL","Trung tính"
"2024-09-07",8.000000,"POSITIVE","Tích cực"
"2024-09-07",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-07",4.000000,"NEUTRAL","Trung tính"
"2024-09-08",5.000000,"POSITIVE","Tích cực"
"2024-09-08",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-08",4.000000,"NEUTRAL","Trung tính"
"2024-09-09",4.000000,"POSITIVE","Tích cực"
"2024-09-09",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-09",1.000000,"NEUTRAL","Trung tính"
"2024-09-10",8.000000,"POSITIVE","Tích cực"
"2024-09-10",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-10",3.000000,"NEUTRAL","Trung tính"
"2024-09-11",6.000000,"POSITIVE","Tích cực"
"2024-09-11",9.000000,"NEGATIVE","Tiêu cực"
"2024-09-11",5.000000,"NEUTRAL","Trung tính"
"2024-09-12",11.000000,"POSITIVE","Tích cực"
"2024-09-12",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-12",5.000000,"NEUTRAL","Trung tính"
"2024-09-13",12.000000,"POSITIVE","Tích cực"
"2024-09-13",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-13",3.000000,"NEUTRAL","Trung tính"
"2024-09-14",5.000000,"POSITIVE","Tích cực"
"2024-09-14",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-14",5.000000,"NEUTRAL","Trung tính"
"2024-09-15",7.000000,"POSITIVE","Tích cực"
"2024-09-15",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-15",6.000000,"NEUTRAL","Trung tính"
"2024-09-16",5.000000,"POSITIVE","Tích cực"
"2024-09-16",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-16",2.000000,"NEUTRAL","Trung tính"
"2024-09-17",7.000000,"POSITIVE","Tích cực"
"2024-09-17",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-17",2.000000,"NEUTRAL","Trung tính"
"2024-09-18",7.000000,"POSITIVE","Tích cực"
"2024-09-18",8.000000,"NEGATIVE","Tiêu cực"
"2024-09-18",2.000000,"NEUTRAL","Trung tính"
"2024-09-19",11.000000,"POSITIVE","Tích cực"
"2024-09-19",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-19",7.000000,"NEUTRAL","Trung tính"
"2024-09-20",9.000000,"POSITIVE","Tích cực"
"2024-09-20",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-20",6.000000,"NEUTRAL","Trung tính"
"2024-09-21",7.000000,"POSITIVE","Tích cực"
"2024-09-21",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-21",6.000000,"NEUTRAL","Trung tính"
"2024-09-22",13.000000,"POSITIVE","Tích cực"
"2024-09-22",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-22",3.000000,"NEUTRAL","Trung tính"
"2024-09-23",6.000000,"POSITIVE","Tích cực"
"2024-09-23",7.000000,"NEGATIVE","Tiêu cực"
"2024-09-23",2.000000,"NEUTRAL","Trung tính"
"2024-09-24",6.000000,"POSITIVE","Tích cực"
"2024-09-24",10.000000,"NEGATIVE","Tiêu cực"
"2024-09-24",5.000000,"NEUTRAL","Trung tính"
"2024-09-25",8.000000,"POSITIVE","Tích cực"
"2024-09-25",2.000000,"NEGATIVE","Tiêu cực"
"2024-09-25",3.000000,"NEUTRAL","Trung tính"
"2024-09-26",7.000000,"POSITIVE","Tích cực"
"2024-09-26",5.000000,"NEGATIVE","Tiêu cực"
"2024-09-26",1.000000,"NEUTRAL","Trung tính"
"2024-09-27",6.000000,"POSITIVE","Tích cực"
"2024-09-27",3.000000,"NEGATIVE","Tiêu cực"
"2024-09-27",2.000000,"NEUTRAL","Trung tính"
"2024-09-28",5.000000,"POSITIVE","Tích cực"
"2024-09-28",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-28",6.000000,"NEUTRAL","Trung tính"
"2024-09-29",5.000000,"POSITIVE","Tích cực"
"2024-09-29",4.000000,"NEGATIVE","Tiêu cực"
"2024-09-29",3.000000,"NEUTRAL","Trung tính"
"2024-09-30",2.000000,"POSITIVE","Tích cực"
"2024-09-30",6.000000,"NEGATIVE","Tiêu cực"
"2024-09-30",3.000000,"NEUTRAL","Trung tính"
